FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Wilfried,Bony,FWD,STK,7000000,0,29,2.9,4.14285714285714E-07,4.14285714285714E-06,0,128336,1,12,0,0,0,2,0,4.1,300,-5,0,29,5,0,0,0.3,3,0,3,0,0,0.7,112765,0,249,0,1,684,34,0,0,92,Man Utd,Everton,West Brom,Crystal Palace,Tottenham,0,2.9,2.5,3.4,2,2.8,2.7,2.3,2.7,2.2,3.3,3.9,3.3,3.4,2.3,2.8,2.3
Fabio,Borini,FWD,SUN,5100000,2,19,0.301587301587302,5.9134765017118E-08,3.72549019607843E-06,0,74270,2,15,0,0,0,1,0,3.7,780,-4,0,19,4,0.6,0,3,1,0,2,0,0,0.7,22002,0,280,0,0,684,605,0,0,76,West Brom,Tottenham,Crystal Palace,Southampton,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Cameron,Borthwick-Jackson,DEF,MUN,4400000,0,0,0,0,0,0,2982,0,0,0,0,0,0,0,0,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,98,0,123,0,0,0,2,0,0,0,Stoke,Hull City,Leicester,Watford,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artur,Boruc,GLK,BOU,4600000,1,62,3.3,7.17391304347826E-07,1.34782608695652E-05,0,187556,2,34,0,56,0,0,0,13.5,3321,1,0,62,-1,0.5,0,2.4,2,0,5,0,0,6.6,233321,0,281,1,2,1710,1082,0,0,345,Watford,Crystal Palace,Everton,Man City,West Brom,4.1,4.2,2.3,4,2.8,2.2,4.9,3.8,3.3,3.2,3.8,2.4,4,2.1,4.3,4.5,1.9
Sofiane,Boufal,MID,SOU,6800000,0,24,0.380952380952381,5.60224089635854E-08,3.52941176470588E-06,0,11585,3,10,0,0,0,1,0,3.5,165,-2,0,24,2,0.1,0,1,1,0,3,0,0,0.1,12492,0,0,0,0,624,6,0,0,104,Leicester,Swansea,West Ham,Sunderland,Arsenal,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jarrod,Bowen,FWD,HUL,4500000,0,5,0.0793650793650794,1.7636684303351E-08,1.11111111111111E-06,0,4396,0,1,0,0,0,0,0,1.1,39,0,0,5,0,0,0,0,0,0,0,0,0,0.1,5120,0,0,0,0,65,22,0,0,15,Chelsea,Man Utd,Liverpool,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George,Boyd,MID,BUR,5100000,6,47,2.4,4.70588235294118E-07,9.2156862745098E-06,0,9986,2,25,0,0,0,1,0,9.2,70,-4,0,47,4,0.5,0,2.8,0,0,4,0,1,0.1,4140,0,0,0,0,1527,129,0,0,210,Arsenal,Leicester,Watford,Chelsea,Hull City,1.2,2.9,1.2,1.8,1.2,1.2,1.2,1.5,2.1,2.2,1.2,1.2,2.2,1.2,2.3,1.2,2.1
Cameron,Brannagan,MID,LIV,4200000,0,0,0,0,0,0,2704,0,0,0,0,0,0,0,0,68,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,2330,0,27,0,0,0,66,0,0,0,Swansea,Chelsea,Hull City,Tottenham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claudio,Bravo,GLK,MCI,5200000,0,58,3.2,6.15384615384615E-07,1.11538461538462E-05,0,93870,0,23,0,31,0,0,0,11.2,2451,-3,0,58,3,0.5,0,2.4,3,0,4,0,0,1.7,117280,0,0,1,1,1620,215,0,0,301,Tottenham,West Ham,Swansea,Bournemouth,Man Utd,3.8,3.8,3.4,3.1,2.7,2.3,4,4.3,3.7,2.7,3.9,3.4,3.8,3,3.8,3.2,2.8
Miguel,Britos,DEF,WAT,4300000,5,34,2,4.65116279069767E-07,7.90697674418605E-06,0,25925,6,24,0,0,0,0,0,7.9,449,-2,0,34,2,0.4,0,1.8,2,0,4,0,0,0.5,39355,0,205,0,1,1523,1845,0,1,235,Bournemouth,Arsenal,Burnley,Man Utd,West Ham,1.4,1.8,2.2,1,2.6,2.4,1.2,1.6,1.7,2,1.1,1.7,1.4,2.3,1,1.1,1.8
Leon,Britton,MID,SWA,4400000,0,20,0.317460317460317,7.21500721500721E-08,4.54545454545455E-06,0,3477,2,22,0,0,0,0,0,4.5,42,-1,0,20,1,0.2,0,1,0,0,2,0,0,0.1,1737,0,166,0,0,802,6,0,0,133,Liverpool,Southampton,Man City,Leicester,Chelsea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Marcus,Browne,MID,WHU,4500000,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,10,0,0,0,Middlesbrough,Man City,Southampton,West Brom,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyias,Browning,DEF,EVE,3900000,0,0,0,0,0,0,63191,0,0,0,0,0,0,0,0,2016,-1,0,0,1,0,0,0,0,0,0,0,0,3,124812,0,22,0,0,0,2298,0,0,0,Crystal Palace,Stoke,Bournemouth,Middlesbrough,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,Bruce,DEF,HUL,4000000,0,0,0,0,0,0,5962,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4335,0,0,0,0,0,30,0,0,0,Chelsea,Man Utd,Liverpool,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris,Brunt,DEF,WBA,5000000,0,49,0.777777777777778,1.55555555555556E-07,9.8E-06,0,37064,3,17,0,0,0,2,0,9.8,2253,0,0,49,0,0.5,0,2.4,6,0,1,0,3,2.3,122377,0,230,0,1,1092,1956,0,0,223,Sunderland,Middlesbrough,Stoke,West Ham,Bournemouth,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.6,0.5,0.4,0.4,0.4,0.4,0.4
Reece,Burke,DEF,WHU,4000000,0,0,0,0,0,0,2482,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2397,0,0,0,0,0,5,0,0,0,Middlesbrough,Man City,Southampton,West Brom,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Butland,GLK,STK,4600000,0,0,0,0,0,0,141970,0,0,0,0,0,0,0,0,308,-4,0,0,4,0,0,0,0,0,0,0,0,0.9,3396,0,341,0,0,0,34,0,0,0,Man Utd,Everton,West Brom,Crystal Palace,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam,Byram,DEF,WHU,4200000,0,7,0.111111111111111,2.64550264550265E-08,1.66666666666667E-06,0,30509,3,6,0,0,0,0,0,1.7,36,-3,0,7,3,0,0,0,0,0,1,0,0,0.2,11647,0,39,0,0,309,145,0,0,60,Middlesbrough,Man City,Southampton,West Brom,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Willy,Caballero,GLK,MCI,4700000,0,6,0.0952380952380952,2.02634245187437E-08,1.27659574468085E-06,0,26693,0,3,0,5,0,0,0,1.3,50,-3,0,6,3,0,0,0,0,0,0,0,0,0.3,20575,0,45,0,0,270,5,0,0,39,Tottenham,West Ham,Swansea,Bournemouth,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yohan,Cabaye,MID,CRY,5600000,2,38,0.603174603174603,1.07709750566893E-07,6.78571428571429E-06,0,126250,5,34,0,0,0,2,0,6.8,854,-4,0,38,4,0.6,1,3.5,4,0,0,0,0,1.2,24598,0,397,0,1,1250,434,0,0,215,Everton,Bournemouth,Sunderland,Stoke,Middlesbrough,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Gary,Cahill,DEF,CHE,6400000,6,102,4.9,7.65625E-07,1.59375E-05,0,169293,2,15,0,0,0,2,0,15.9,5562,4,0,102,-4,0.8,0,5,9,0,12,0,0,13,424136,1,283,0,1,1883,5864,0,0,462,Hull City,Liverpool,Arsenal,Burnley,Swansea,6.9,5.9,6.9,4.3,6.2,5.9,6.7,6.1,6.8,6.5,5.7,4.6,7.3,4.8,6.5,5.6,6.2
Jonathan,Calleri,FWD,WHU,6600000,0,6,0.0952380952380952,1.44300144300144E-08,9.09090909090909E-07,0,2813,0,2,0,0,0,0,0,0.9,20,-4,0,6,4,0,0,0,0,0,0,0,0,0,2580,0,0,0,0,135,15,0,0,8,Middlesbrough,Man City,Southampton,West Brom,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Callum Wilson,FWD,BOU,6200000,1,60,3.3,5.32258064516129E-07,9.67741935483871E-06,0,336867,0,22,0,0,0,6,0,9.7,4637,-3,0,60,3,0.3,0,1.8,2,0,6,0,1,2.9,338668,0,165,0,0,1241,3137,0,0,168,Watford,Crystal Palace,Everton,Man City,West Brom,4.1,4.3,2.2,4.2,2.7,2.6,4.4,4.4,2.5,2.7,3.1,2.1,3.7,2.8,3.8,4.8,2.9
Dominic,Calvert-Lewin,FWD,EVE,4500000,0,4,0.0634920634920635,1.41093474426808E-08,8.88888888888889E-07,0,1350,0,1,0,0,0,0,0,0.9,70,0,0,4,0,0.1,0,0.6,0,0,0,0,0,0,1793,0,0,0,0,58,30,0,0,5,Crystal Palace,Stoke,Bournemouth,Middlesbrough,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoff,Cameron,DEF,STK,4300000,0,20,0.317460317460317,7.3827980804725E-08,4.65116279069767E-06,0,22306,0,11,0,0,0,0,0,4.7,113,-2,0,20,2,0,0,0,2,0,2,0,0,0.2,14499,0,293,0,0,630,9,0,0,126,Man Utd,Everton,West Brom,Crystal Palace,Tottenham,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Fraizer,Campbell,FWD,CRY,4400000,0,12,0.19047619047619,4.32900432900433E-08,2.72727272727273E-06,0,55197,0,3,0,0,0,1,0,2.7,1350,-1,0,12,1,0.2,0,0.8,0,0,0,0,0,1.2,70855,0,12,0,0,120,1381,0,0,47,Everton,Bournemouth,Sunderland,Stoke,Middlesbrough,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Joel,Campbell,MID,ARS,5900000,0,0,0,0,0,0,4935,0,0,0,0,0,0,0,0,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,387,0,175,0,0,0,1,0,0,0,Burnley,Watford,Chelsea,Hull City,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emre,Can,MID,LIV,4800000,4,48,0.761904761904762,1.58730158730159E-07,1E-05,0,136962,3,12,0,0,0,3,0,10,2002,-2,1,48,2,0.4,0,2,4,0,4,0,1,1.8,136723,0,399,0,0,962,1789,-1,0,207,Swansea,Chelsea,Hull City,Tottenham,Leicester,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Etienne,Capoue,MID,WAT,4700000,3,86,4.1,8.72340425531915E-07,1.82978723404255E-05,0,1111733,2,35,0,0,0,5,0,18.3,26299,2,1,86,-2,0.5,0,2.3,14,0,4,0,1,30.9,2089338,0,347,0,3,1837,7231,-1,0,352,Bournemouth,Arsenal,Burnley,Man Utd,West Ham,3.1,2.5,5.9,3.7,4.3,4.8,2.6,3.5,6.1,4.7,2.4,4.6,3.5,3.5,3.8,3.1,4
Michael,Carrick,MID,MUN,4300000,1,21,0.333333333333333,7.75193798449612E-08,4.88372093023256E-06,0,79743,0,6,0,0,0,0,0,4.9,1937,-2,0,21,2,0.4,0,1.8,0,0,3,0,0,2,106375,0,275,0,0,778,2314,0,0,140,Stoke,Hull City,Leicester,Watford,Man City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Andy,Carroll,FWD,WHU,6200000,5,28,3.1,5E-07,4.51612903225806E-06,0,326560,1,8,0,0,0,3,0,4.5,1737,-3,0,28,3,0.6,0,4,2,0,3,0,0,2.8,150852,0,381,0,0,600,9759,0,0,100,Middlesbrough,Man City,Southampton,West Brom,Watford,2.4,3.7,2.4,3.6,2.5,2.7,2.4,4.1,3.5,2.5,3.9,2.7,3.4,2.6,3.5,3.8,2.2
Tom,Carroll,MID,TOT,4200000,0,1,0.0158730158730159,3.77928949357521E-09,2.38095238095238E-07,0,8453,0,0,0,0,0,0,0,0.2,248,-3,0,1,3,0,0,0,0,0,0,0,0,0.2,9054,0,93,0,0,1,293,0,0,3,Man City,Sunderland,Middlesbrough,Liverpool,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,Carter-Vickers,DEF,TOT,4300000,0,0,0,0,0,0,1706,0,0,0,0,0,0,0,0,9,-2,0,0,2,0,0,0,0,0,0,0,0,0,706,0,0,0,0,0,11,0,0,0,Man City,Sunderland,Middlesbrough,Liverpool,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig,Cathcart,DEF,WAT,4300000,0,5,0.0793650793650794,1.84569952011812E-08,1.16279069767442E-06,0,18147,2,11,0,0,0,0,0,1.2,55,-2,0,5,2,-0.1,0,-0.3,0,0,0,0,0,0.2,3862,0,335,0,0,495,21,0,0,57,Bournemouth,Arsenal,Burnley,Man Utd,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,Cattermole,MID,SUN,4200000,0,3,0.0476190476190476,1.13378684807256E-08,7.14285714285714E-07,0,5749,1,3,0,0,0,0,0,0.7,34,-3,0,3,3,0,0,0,0,0,0,0,0,0.1,1825,0,246,0,0,175,50,0,0,17,West Brom,Tottenham,Crystal Palace,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santiago,Cazorla,MID,ARS,7000000,0,38,0.603174603174603,8.61678004535147E-08,5.42857142857143E-06,0,369552,2,5,0,0,0,2,0,5.4,293,-5,0,38,5,0,0,0,5,0,4,0,2,1.5,329870,0,259,0,0,618,17,0,0,159,Burnley,Watford,Chelsea,Hull City,Southampton,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Petr,Cech,GLK,ARS,5400000,7,72,3.4,6.2962962962963E-07,1.33333333333333E-05,0,378938,2,22,0,57,0,0,0,13.3,3112,-1,0,72,1,0.9,0,4.8,0,0,7,0,0,15,266722,1,409,0,0,1890,4264,0,0,361,Burnley,Watford,Chelsea,Hull City,Southampton,4.4,4,3,4.1,3.9,3.8,3.4,3.4,3.8,4.9,3.9,3.4,3.6,2.9,2.8,3.8,3.8
,Cedric,DEF,SOU,4800000,2,43,3.1,6.45833333333333E-07,8.95833333333333E-06,0,124326,1,15,0,0,0,0,0,9,1044,-2,0,43,2,0.2,0,1,7,0,4,0,0,1.5,131435,0,320,0,0,1097,668,0,0,259,Leicester,Swansea,West Ham,Sunderland,Arsenal,3.2,2.7,4.6,2,4.1,2.5,2.7,2.2,4.2,3.8,2.6,3.6,2.3,3.9,3,2.6,3.9
Nacer,Chadli,MID,WBA,6000000,2,64,4,6.66666666666667E-07,1.06666666666667E-05,0,267183,1,16,0,0,0,4,0,10.7,1474,-5,0,64,5,0.3,0,2,8,0,3,0,2,1.3,289537,0,173,0,2,1034,422,0,0,191,Sunderland,Middlesbrough,Stoke,West Ham,Bournemouth,5.9,3.8,4.2,2.8,4.7,4.1,3.1,3.2,3.6,3.8,4.6,3.3,2.8,5.3,3.2,3.6,3.8
Nathaniel,Chalobah,MID,CHE,4500000,0,10,0.158730158730159,3.52733686067019E-08,2.22222222222222E-06,0,782,1,0,0,0,0,0,0,2.2,16,0,0,10,0,0.1,0,0.5,0,0,0,0,1,0,927,0,0,0,0,79,14,0,0,35,Hull City,Liverpool,Arsenal,Burnley,Swansea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Chamberlain,MID,ARS,5800000,1,52,0.825396825396825,1.42309797482211E-07,8.96551724137931E-06,0,143405,0,10,0,0,0,2,0,9,1127,-2,0,52,2,0.2,0,1,2,0,1,0,4,1.4,114221,0,186,0,1,812,156,0,0,232,Burnley,Watford,Chelsea,Hull City,Southampton,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4
Calum,Chambers,DEF,MID,4500000,7,52,3.3,7.33333333333333E-07,1.15555555555556E-05,0,152896,4,19,0,0,0,1,0,11.6,1683,0,-1,52,0,1,0,4.3,4,0,5,0,0,5.1,215295,0,70,0,0,1440,13934,1,0,309,West Ham,West Brom,Tottenham,Everton,Crystal Palace,4.8,3.9,2.8,3.7,3.6,3.6,3.5,2.8,3.3,3.3,4.2,4.3,3.3,3.7,2.9,4.6,3.6
James,Chester,DEF,WBA,4500000,0,0,0,0,0,0,4490,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,85,0,0,0,2,0,0,0,Sunderland,Middlesbrough,Stoke,West Ham,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin,Chilwell,DEF,LEI,4300000,1,8,0.126984126984127,2.953119232189E-08,1.86046511627907E-06,0,7079,0,5,0,0,0,0,0,1.9,93,-2,0,8,2,0.5,0,2,0,0,1,0,0,0.2,3330,0,0,0,0,270,238,0,0,46,Southampton,Burnley,Man Utd,Swansea,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Pedro,Chirivella,MID,LIV,4200000,0,0,0,0,0,0,2759,0,0,0,0,0,0,0,0,111,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,2767,0,2,0,0,0,22,0,0,0,Swansea,Chelsea,Hull City,Tottenham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Christian Benteke,FWD,CRY,7400000,2,70,3.7,5E-07,9.45945945945946E-06,0,706141,4,36,0,0,0,8,0,9.5,10425,-1,0,70,1,0.1,2,1,6,0,1,0,1,5.8,815629,0,315,0,1,1634,2386,0,0,209,Everton,Bournemouth,Sunderland,Stoke,Middlesbrough,4.1,3.5,4.9,3.7,3.9,3.8,4.2,4.4,2.8,3.5,3.9,4.9,3.9,5.2,4,5.2,3.7
Josh,Clackstone,DEF,HUL,4000000,0,0,0,0,0,0,4365,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0.1,6584,0,0,0,0,0,20,0,0,0,Chelsea,Man Utd,Liverpool,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordy,Clasie,MID,SOU,4600000,0,21,0.333333333333333,7.2463768115942E-08,4.56521739130435E-06,0,4010,3,11,0,0,0,0,0,4.6,29,-4,0,21,4,0.3,0,1.2,0,0,1,0,1,0.1,2163,0,183,0,0,751,27,0,0,102,Leicester,Swansea,West Ham,Sunderland,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Adam,Clayton,MID,MID,4300000,0,36,2,4.65116279069767E-07,8.37209302325581E-06,0,35928,5,15,0,0,0,0,0,8.4,1663,-2,0,36,2,0.3,0,1.3,0,0,6,0,1,1,56171,0,0,0,0,1364,1531,0,0,211,West Ham,West Brom,Tottenham,Everton,Crystal Palace,1.3,1.5,1,1.6,1.2,1.1,2.3,1.4,1.3,1.1,2.2,1,1,1.2,1,1.5,1
Tom,Cleverley,MID,WAT,5100000,1,14,0.222222222222222,4.35729847494553E-08,2.74509803921569E-06,0,8229,1,9,0,0,0,0,0,2.7,57,-4,0,14,4,0.1,0,0.4,0,0,0,0,0,0.1,2036,0,241,0,0,421,91,0,0,67,Bournemouth,Arsenal,Burnley,Man Utd,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gael,Clichy,DEF,MCI,5200000,0,42,3.5,6.73076923076923E-07,8.07692307692308E-06,0,49341,0,13,0,0,0,1,0,8.1,916,-3,0,42,3,0.7,0,3.8,4,0,3,0,0,1.2,25215,0,166,0,1,1001,427,0,0,232,Tottenham,West Ham,Swansea,Bournemouth,Man Utd,4.4,4.2,3.9,3.5,3.1,2.6,4.5,4.9,4.2,3.1,4.4,3.9,4.3,3.4,4.3,3.6,3.2
Sam,Clucas,MID,HUL,4700000,2,40,1.9,4.04255319148936E-07,8.51063829787234E-06,0,3693,5,42,0,0,0,0,0,8.5,21,-3,0,40,3,0.4,0,1.8,0,0,1,0,1,0.1,2078,0,0,0,0,1779,19,0,0,282,Chelsea,Man Utd,Liverpool,Arsenal,Burnley,1,1.1,1,1,2,1.1,1.4,1,1.2,1.5,1,1,1.7,1,2.1,1,1.2
Nathaniel,Clyne,DEF,LIV,5800000,0,72,3.6,6.20689655172414E-07,1.24137931034483E-05,0,344873,0,23,0,0,0,0,0,12.4,17228,3,0,72,-3,0.6,0,3.2,9,0,6,0,2,11.8,391796,0,387,0,1,1800,1870,0,0,406,Swansea,Chelsea,Hull City,Tottenham,Leicester,0,4.1,3.5,4.6,2.3,5,4.9,3.3,4.4,5.1,3.9,3.4,4.6,3.2,5.3,4.2,4.4
Seamus,Coleman,DEF,EVE,5500000,12,77,4.3,7.81818181818182E-07,1.4E-05,0,211142,3,21,0,0,0,3,0,14,1842,0,0,77,0,0.9,0,5.2,8,0,5,0,1,4.7,259669,0,327,0,2,1596,6661,0,0,333,Crystal Palace,Stoke,Bournemouth,Middlesbrough,Sunderland,4.9,4.9,6.4,4.3,5.4,3.8,5.9,6,4.8,3.4,5.1,6.2,4.9,5.4,4.5,5.8,5.1
James,Collins,DEF,WHU,4200000,6,29,2.9,6.9047619047619E-07,6.9047619047619E-06,0,339166,1,16,0,0,0,1,0,6.9,1007,-3,0,29,3,0.4,0,1.5,3,0,2,0,0,3.9,330722,0,217,0,1,816,3497,0,0,173,Middlesbrough,Man City,Southampton,West Brom,Watford,2.5,3.2,2.9,3.4,2.3,3,2.5,2.8,2.5,3.1,3,1.8,3.2,2.8,3.4,3.9,1.7
Lewis,Cook,MID,BOU,4200000,0,2,0.0317460317460317,7.55857898715042E-09,4.76190476190476E-07,0,27268,0,3,0,0,0,0,0,0.5,385,-3,0,2,3,0,0,0,0,0,0,0,0,0.6,18027,0,0,0,0,80,498,0,0,10,Watford,Crystal Palace,Everton,Man City,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve,Cook,DEF,BOU,5100000,1,70,3.3,6.47058823529412E-07,1.37254901960784E-05,0,78849,3,37,0,0,0,2,0,13.7,3719,1,0,70,-1,0.3,0,1.6,10,0,6,0,0,3,165689,1,443,0,1,1890,929,0,0,435,Watford,Crystal Palace,Everton,Man City,West Brom,4.1,4.2,2.3,4,2.8,2.2,4.9,3.8,3.3,3.2,3.8,2.4,4,2.1,4.3,4.5,1.9
Francis,Coquelin,MID,ARS,4300000,0,34,0.53968253968254,1.25507567368032E-07,7.90697674418605E-06,0,137962,3,17,0,0,0,0,0,7.9,3700,-2,0,34,2,0.3,0,1.4,1,0,3,0,1,2.2,125689,0,246,0,0,1191,282,0,0,203,Burnley,Watford,Chelsea,Hull City,Southampton,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Jack,Cork,MID,SWA,4600000,0,29,1.7,3.69565217391304E-07,6.30434782608696E-06,0,4054,2,33,0,0,0,0,0,6.3,30,-4,0,29,4,0.3,0,1.3,0,0,1,0,1,0.1,1425,2,376,0,0,1236,10,0,0,181,Liverpool,Southampton,Man City,Leicester,Chelsea,0.8,1.1,0.8,1.4,0.8,1.6,0.9,0.8,1.1,0.9,0.8,1.1,1,1,1.1,1.3,1.1
,Costa,FWD,CHE,10400000,0,123,6.5,6.25E-07,1.18269230769231E-05,0,1778621,5,15,0,0,0,14,0,11.7,148671,9,2,123,-9,0.2,0,2,19,0,10,0,5,33.4,2699306,0,533,0,3,1676,4567,-2,0,462,Hull City,Liverpool,Arsenal,Burnley,Swansea,0,7.8,8.8,7.1,8.9,7.8,9.5,8,9,9.3,7.6,7.9,9.6,7,8.9,7.9,9.7
Thibaut,Courtois,GLK,CHE,5900000,6,91,4.3,7.28813559322034E-07,1.54237288135593E-05,0,240839,1,15,0,38,0,0,0,15.4,4319,4,0,91,-4,0.6,0,3.8,0,0,12,0,0,15.5,409583,0,230,0,1,1890,5817,0,0,380,Hull City,Liverpool,Arsenal,Burnley,Swansea,5.8,5.1,6,3.5,5.2,5.2,5.6,5.2,5.7,5.4,4.8,3.7,6.4,4,5.5,4.6,5.2
Philippe,Coutinho,MID,LIV,8300000,1,79,1.25396825396825,1.51080512526296E-07,9.51807228915663E-06,0,2098310,2,12,0,0,0,5,0,9.5,2573,3,-1,79,-3,0,0,0.2,10,0,3,0,6,16.8,1909030,0,459,0,2,990,40171,1,0,309,Swansea,Chelsea,Hull City,Tottenham,Leicester,0.7,0.6,0.6,0.6,0.6,0.6,1.1,0.6,0.8,0.8,0.6,0.6,0.6,0.6,0.8,0.6,0.8
Aaron,Cresswell,DEF,WHU,5300000,6,36,3,5.66037735849057E-07,6.79245283018868E-06,0,20829,1,13,0,0,0,0,0,6.8,307,-2,0,36,2,0.5,0,2.8,1,0,4,0,1,0.4,21783,0,514,0,0,1064,354,0,1,190,Middlesbrough,Man City,Southampton,West Brom,Watford,2.6,3.4,3,3.6,2.4,3.2,2.7,3,2.7,3.3,3.2,1.9,3.4,3,3.6,4,1.9
Peter,Crouch,FWD,STK,4800000,11,39,0.619047619047619,1.28968253968254E-07,8.125E-06,0,45158,0,12,0,0,0,3,0,8.1,2182,-2,-1,39,2,1.5,0,7.3,3,0,1,0,2,2.7,116954,0,47,0,1,556,31111,1,0,132,Man Utd,Everton,West Brom,Crystal Palace,Tottenham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3
